pair_id,source,target,dropout_probability,protected_relations,beta,seed,n_realizations,mean_score,variance,robust_score,min_score,max_score
drug_imatinib__disease_diabetes,drug:imatinib,disease:diabetes,0.0,indication,1.0,20260523,16,-0.9135742037433482,0.0,-0.9135742037433482,-0.9135742037433482,-0.9135742037433482
drug_imatinib__disease_diabetes,drug:imatinib,disease:diabetes,0.1,indication,1.0,20260524,16,-0.9505991806285434,0.011831387084956544,-0.9624305677135,-1.2127567345231622,-0.7881634629954836
drug_imatinib__disease_diabetes,drug:imatinib,disease:diabetes,0.2,indication,1.0,20260525,16,-0.9355723961725985,0.015585985340772988,-0.9511583815133714,-1.2269206204048022,-0.6668915645471528
drug_imatinib__disease_diabetes,drug:imatinib,disease:diabetes,0.35,indication,1.0,20260526,16,-0.9917764575469942,0.01991489951547982,-1.011691357062474,-1.2269206204048022,-0.7138736963554843
drug_imatinib__disease_diabetes,drug:imatinib,disease:diabetes,0.5,indication,1.0,20260527,16,-0.8784707488437502,0.047018667219328195,-0.9254894160630784,-1.2269206204048022,-0.34003445003525523
drug_imatinib__disease_leukemia,drug:imatinib,disease:leukemia,0.0,indication,1.0,20261523,16,-0.4689691405601583,0.0,-0.4689691405601583,-0.4689691405601583,-0.4689691405601583
drug_imatinib__disease_leukemia,drug:imatinib,disease:leukemia,0.1,indication,1.0,20261524,16,-0.5529360341443119,0.07937279871374966,-0.6323088328580616,-1.0123998062320958,-0.07856450123987474
drug_imatinib__disease_leukemia,drug:imatinib,disease:leukemia,0.2,indication,1.0,20261525,16,-0.6003628283337548,0.10087886871997578,-0.7012416970537305,-1.0123998062320958,-0.07856450123987474
drug_imatinib__disease_leukemia,drug:imatinib,disease:leukemia,0.35,indication,1.0,20261526,16,-0.3172123917195079,0.20846644016848495,-0.5256788318879928,-1.0123998062320958,0.47995140600074104
drug_imatinib__disease_leukemia,drug:imatinib,disease:leukemia,0.5,indication,1.0,20261527,16,-0.2141633058162351,0.19577685641792136,-0.40994016223415647,-1.0123998062320958,0.4799514060007412
drug_metformin__disease_diabetes,drug:metformin,disease:diabetes,0.0,indication,1.0,20262523,16,-0.45518129001328655,0.0,-0.45518129001328655,-0.45518129001328655,-0.45518129001328655
drug_metformin__disease_diabetes,drug:metformin,disease:diabetes,0.1,indication,1.0,20262524,16,-0.40908227639204464,0.026958012224135484,-0.4360402886161801,-0.4575814251184557,0.22403009144993136
drug_metformin__disease_diabetes,drug:metformin,disease:diabetes,0.2,indication,1.0,20262525,16,-0.5202922730161542,0.026062110763568187,-0.5463543837797225,-0.9854465526883924,-0.22579927506561642
drug_metformin__disease_diabetes,drug:metformin,disease:diabetes,0.35,indication,1.0,20262526,16,-0.31949934980472205,0.13475694244228764,-0.4542562922470097,-0.9854464755750831,0.4799514060007412
drug_metformin__disease_diabetes,drug:metformin,disease:diabetes,0.5,indication,1.0,20262527,16,-0.11222832971000765,0.15485078803373292,-0.2670791177437406,-0.586192802796442,0.4799514060007412
drug_metformin__disease_leukemia,drug:metformin,disease:leukemia,0.0,indication,1.0,20263523,16,-1.1866966493429012,0.0,-1.1866966493429012,-1.1866966493429012,-1.1866966493429012
drug_metformin__disease_leukemia,drug:metformin,disease:leukemia,0.1,indication,1.0,20263524,16,-1.131048927753887,0.005908261065588245,-1.1369571888194754,-1.1866966493429012,-0.9329364235414813
drug_metformin__disease_leukemia,drug:metformin,disease:leukemia,0.2,indication,1.0,20263525,16,-1.0666277470995777,0.009963334533049647,-1.0765910816326274,-1.1866966493429012,-0.8632688662510473
drug_metformin__disease_leukemia,drug:metformin,disease:leukemia,0.35,indication,1.0,20263526,16,-0.9959450579606943,0.01611584986172046,-1.0120609078224148,-1.1866966493429012,-0.7071067811865477
drug_metformin__disease_leukemia,drug:metformin,disease:leukemia,0.5,indication,1.0,20263527,16,-1.0042538070422222,0.03173635531227406,-1.0359901623544963,-1.2247448713915892,-0.6085806194501846
